,Area Code,Parcel Count,Acres,Total Land Value,Total Building Value,Total Market Value,Total Taxable Land Value,Total Taxable Building Value,Total Taxable Value,Average Market VPA,Average Taxable VPA,GIS Avg Market VPA,GIS VPA Median,GIS Grade Median VPA,GIS Grade Average VPA,VPA Check,By Color,HOLC Grade
0,A1,295,97.35405911009228,11452300,55838900,40374720.0,6871380.0,33503340.0,24224832.0,1158555.6314436318,248832.27490910765,,,,,,,A
1,A2,305,85.29479078407819,14372500,41038900,36163800.0,8623500.0,24623340.0,21698280.0,976705.2407377544,254391.61993994098,,,,,,,A
2,A3,242,92.66256477040095,16643900,46616300,43086780.0,9986340.0,27969780.0,25852068.0,891353.200098279,278991.50065677747,,,,,,,A
3,B1,275,28.53373270995243,5969500,20908000,16126500.0,3581700.0,12544800.0,9675900.0,1019684.051258132,339103.8984754032,,,,,,,B
4,B2,104,16.0652583978842,1524400,6206200,4638360.0,914640.0,3723720.0,2783016.0,577637.8484568252,173231.94754007342,,,,,,,B
5,B3,1046,159.4981892283456,39568000,115761200,94575300.0,23740800.0,69456720.0,56745180.0,1228752.081525528,355773.1926270382,,,,,,,B
6,B4,410,83.18448088789901,12469200,39052900,30913260.0,7481520.0,23431740.0,18547956.0,727849.6924730409,222973.75426307676,,,,,,,B
7,C1,563,69.34125616759654,10305800,31371500,25006380.0,6183480.0,18822900.0,15003828.0,754827.5690642337,216376.63966940582,,,,,,,C
8,C2,393,40.27977251526118,7928000,21665900,17756340.0,4756800.0,12999540.0,10653804.0,809799.9696325335,264495.1382474539,,,,,,,C
9,C3,524,44.75521065625852,4454400,16783900,12742980.0,2672640.0,10070340.0,7645788.0,507371.35046236095,170835.7057845916,,,,,,,C
10,C4,85,4.6113035517339,204900,2356200,1536660.0,122940.0,1413720.0,921996.0,601322.6942220384,199942.59533257567,,,,,,,C
11,C5,64,2.9438814539204,196800,987000,710280.0,118080.0,592200.0,426168.0,448677.38658087817,144763.9813867054,,,,,,,C
12,C6,175,42.27033885150658,1511500,8833700,6207120.0,906900.0,5300220.0,3724272.0,298357.26354085887,88106.03608083594,,,,,,,C
13,C7,218,49.598283396497,4047900,12974600,10273080.0,2428740.0,7784760.0,6163848.0,411828.13159885386,124275.43007335888,,,,,,,C
14,C8,690,106.66204090820308,15318500,45749100,36640560.0,9191100.0,27449460.0,21984336.0,743812.6505636799,206112.0883569109,,,,,,,C
15,C9,894,129.71504827858956,15745800,63240500,47640780.0,9447480.0,37944300.0,28584468.0,770196.836816534,220363.54593654405,,,,,,,C
16,D1,142,16.8630920507699,649500,2300200,1769820.0,389700.0,1380120.0,1061892.0,218918.14961539966,62971.36947381595,,,,,,,D
17,D2,104,15.5614856762447,1298200,3782300,3048300.0,778920.0,2269380.0,1828980.0,394149.1630611882,117532.47974208654,,,,,,,D
18,D3,85,10.112141302727977,497700,2039200,1522140.0,298620.0,1223520.0,913284.0,310032.4039775448,90315.58921685767,,,,,,,D
19,D4,1106,96.5999859478438,2561300,11314700,8325600.0,1536780.0,6788820.0,4995360.0,212302.5471266997,51711.80876462126,,,,,,,D
20,D5,734,65.66773707045711,5739600,15900200,12983880.0,3443760.0,9540120.0,7790328.0,355664.6885797269,118632.50277136087,,,,,,,D
21,D6,1086,74.14726697667597,5744100,20139700,15530280.0,3446460.0,12083820.0,9318168.0,391198.3526769208,125671.09186817576,,,,,,,D
22,D7,142,32.952229060646275,1487300,5842300,4397760.0,892380.0,3505380.0,2638656.0,419194.0984194653,80075.18991033165,,,,,,,D
23,D8,61,10.5766560905941,555900,2311800,1720620.0,333540.0,1387080.0,1032372.0,396787.43766816356,97608.54386842513,,,,,,,D
